query,url,correct_judgement,workers_judgement
q1,u1,1.0,0.77744
q2,u2,0.5,1.34848
q3,u3,1.0,1.1776266666666668
q4,u4,0.2,0.25
q5,u5,1.3,1.2937866666666669
q3,u6,1.7,1.3215466666666666
q6,u7,0.5,0.8537866666666667
q7,u8,0.2,1.2217066666666667
q8,u9,0.5,0.7661866666666667
q9,u10,0.5,0.57752
q10,u11,0.5,0.3333333333333333
q11,u12,1.7,1.0
q12,u13,1.0,1.43152
q13,u14,1.3,1.213493333333333
q14,u15,1.0,1.4092266666666668
q5,u16,1.0,1.4017866666666663
q15,u17,1.3,1.22288
q16,u18,1.3,1.3733333333333333
q17,u19,1.0,1.30136
q18,u20,1.0,1.3211733333333335
q19,u21,1.3,1.2861066666666667
q20,u22,1.7,1.356666666666667
q8,u23,1.7,0.9333333333333332
q21,u24,1.0,0.8608266666666666
q22,u25,1.3,1.2823466666666667
q23,u26,1.0,0.9630933333333336
q24,u27,1.3,1.8041066666666667
q21,u28,0.8,1.2082666666666668
q25,u29,1.0,1.0658666666666667
q26,u30,1.3,1.3999999999999997
q27,u31,1.3,1.2679733333333334
q28,u32,0.5,0.5
q29,u33,0.5,0.9166666666666666
q26,u34,1.7,2.0
q30,u35,0.2,0.3333333333333333
q31,u36,0.5,0.4166666666666667
q32,u37,1.3,1.4734133333333332
q2,u38,0.8,1.2741066666666667
q25,u39,1.0,1.1309066666666667
q33,u40,1.0,0.86384
q34,u41,0.5,0.89824
q35,u42,1.0,1.3904000000000003
q36,u43,1.3,1.225493333333333
q37,u44,1.0,0.9987733333333332
q38,u45,0.2,0.83824
q39,u46,1.0,1.2442933333333337
q40,u47,1.3,1.29312
q41,u48,1.3,1.2416800000000003
q42,u49,0.5,0.5
q43,u50,1.0,1.2694133333333335
q8,u51,1.7,1.4354133333333332
q32,u52,1.3,1.2664533333333334
q44,u53,1.0,1.2333866666666669
q45,u54,1.3,0.8531999999999998
q46,u55,1.3,1.347386666666667
q47,u56,1.3,1.3513600000000003
q46,u57,0.5,1.1043733333333334
q7,u58,1.3,1.1489333333333334
q48,u59,1.3,1.2420266666666666
q49,u60,0.5,1.26944
q50,u61,1.3,1.2361333333333335
q51,u62,1.7,2.0
q2,u63,1.0,1.4178666666666668
q52,u64,0.5,1.0425066666666667
q53,u65,1.0,1.28528
q42,u66,1.0,1.109546666666667
q34,u67,1.0,0.8838933333333333
q54,u68,1.3,1.3627733333333334
q55,u69,0.5,1.0186933333333337
q56,u70,0.2,0.7088000000000001
q3,u71,1.7,1.4023466666666666
q57,u72,1.0,1.1120533333333331
q58,u73,0.5,0.5
q59,u74,1.0,0.8748
q60,u75,0.5,0.8475199999999999
q61,u76,1.0,0.9650933333333334
q33,u77,1.3,0.7604533333333334
q41,u78,1.0,0.5516
q62,u79,1.0,1.3410933333333332
q20,u80,1.0,1.3517066666666668
q63,u81,1.3,1.33944
q51,u82,1.3,1.4510933333333331
q30,u83,1.7,1.4066666666666665
q24,u84,1.7,2.0
q25,u85,1.0,1.1971733333333334
q12,u86,0.5,0.6602133333333334
q64,u87,0.5,1.02816
q65,u88,1.3,1.3155466666666666
q4,u89,0.8,0.5825066666666667
q64,u90,0.5,1.20296
q66,u91,1.3,1.2021333333333335
q67,u92,1.0,1.2506133333333336
q15,u93,1.0,1.37608
q36,u94,1.3,1.1793333333333331
q68,u95,0.8,1.32712
q20,u96,0.8,1.27656
q69,u97,0.2,1.0012800000000002
q70,u98,1.3,1.0405333333333333
q65,u99,0.8,1.24144
q71,u100,0.8,0.25
q72,u101,0.0,0.1666666666666666
q51,u102,1.3,1.39968
q73,u103,1.0,0.8222133333333334
q74,u104,0.0,0.0
q75,u105,1.0,1.03736
q76,u106,1.0,1.1289866666666668
q77,u107,0.2,0.5889866666666667
q78,u108,1.0,1.3018133333333337
q79,u109,1.3,1.3966666666666665
q22,u110,1.3,1.232106666666667
q80,u111,1.7,1.4566933333333332
q48,u112,0.8,1.2755733333333334
q12,u113,0.2,0.0
q51,u114,0.5,0.5
q1,u115,0.0,0.3333333333333333
q81,u116,1.7,1.8006400000000002
q31,u117,0.5,0.8214133333333334
q82,u118,0.5,0.5
q58,u119,0.5,0.67448
q83,u120,1.0,1.4165599999999998
q84,u121,0.0,0.5
q85,u122,1.0,1.1182133333333335
q27,u123,0.8,1.1688533333333335
q86,u124,1.0,1.09736
q87,u125,1.3,1.3360800000000002
q88,u126,1.3,1.1896266666666666
q52,u127,0.5,0.9811466666666666
q89,u128,1.7,1.4368266666666667
q90,u129,1.0,0.9055733333333332
q7,u130,0.2,0.7600266666666666
q75,u131,0.5,1.2769333333333333
q85,u132,1.3,1.296266666666667
q41,u133,1.3,0.9625333333333334
q6,u134,0.5,0.3333333333333333
q47,u135,1.0,1.0071466666666666
q91,u136,0.5,1.08064
q92,u137,0.5,0.7533333333333333
q93,u138,0.5,1.22696
q94,u139,0.5,0.89728
q55,u140,1.3,0.8208533333333333
q64,u141,0.2,1.2494133333333333
q95,u142,0.8,1.1405333333333332
q80,u143,1.3,1.4058933333333334
q33,u144,1.0,1.3061066666666667
q96,u145,0.0,1.1
q73,u146,1.0,1.0710933333333337
q11,u147,1.0,1.3572
q35,u148,1.0,0.52856
q40,u149,1.3,1.0292266666666663
q20,u150,1.3,1.2597866666666668
q50,u151,0.2,0.3333333333333333
q14,u152,1.0,1.2145066666666668
q97,u153,1.3,1.3999999999999997
q98,u154,1.3,1.3466933333333333
q89,u155,1.7,1.3999999999999997
q99,u156,0.5,0.5229866666666667
q74,u104,0.0,0.0
q100,u157,1.7,1.4234933333333335
q9,u158,0.8,1.3157866666666669
q101,u159,0.0,0.0
q85,u160,1.7,1.2645333333333335
q74,u161,1.3,1.27456
q2,u162,0.5,1.040266666666667
q28,u163,1.0,1.28096
q17,u164,1.3,1.1405333333333332
q102,u165,0.2,0.5780266666666667
q47,u166,1.0,1.3362133333333337
q103,u167,1.3,0.96264
q104,u168,0.2,0.4166666666666667
q105,u169,1.3,1.2805333333333335
q27,u170,1.3,1.3426933333333333
q106,u171,0.2,0.0833333333333333
q94,u172,1.0,0.4166666666666667
q107,u173,0.5,0.4408
q70,u174,1.0,1.3573333333333333
q103,u175,1.3,1.3435733333333335
q69,u176,1.0,0.3333333333333333
q91,u177,0.5,1.2386133333333331
q10,u178,1.0,0.8818933333333335
q108,u179,0.5,0.49792
q40,u180,0.8,1.3393866666666667
q47,u181,1.3,1.2826133333333334
q93,u182,0.2,1.01912
q109,u183,1.7,1.2941333333333331
q39,u184,0.5,0.5
q110,u185,1.3,1.316026666666667
q111,u186,0.5,1.1031466666666667
q112,u187,1.0,0.5
q97,u188,1.3,1.3708
q29,u189,1.0,1.02104
q113,u190,0.5,0.91392
q35,u191,0.5,1.384986666666667
q114,u192,0.5,0.5
q83,u193,1.7,1.7666666666666666
q3,u194,0.5,1.0580533333333333
q51,u195,0.5,0.5866933333333334
q92,u196,0.5,0.25
q115,u197,0.2,0.6817866666666667
q24,u198,1.7,2.0
q116,u199,0.5,0.4166666666666667
q2,u200,0.2,0.5
q91,u201,1.0,1.17064
q117,u202,0.5,1.1657866666666667
q42,u203,0.5,1.0910400000000002
q41,u204,0.0,0.0
q50,u205,0.5,1.1942400000000002
q118,u206,0.2,0.0833333333333333
q98,u207,1.3,0.8653866666666667
q47,u181,1.0,1.2826133333333334
q54,u208,1.0,1.403786666666667
q119,u209,1.3,1.3697333333333332
q101,u210,1.3,1.4035733333333331
q120,u211,0.8,0.8366666666666668
q121,u212,0.5,1.16368
q44,u213,1.0,1.2425866666666667
q122,u214,0.2,0.4166666666666667
q123,u215,1.7,1.4343733333333333
q7,u216,0.5,1.254
q124,u217,1.3,1.15272
q13,u218,0.5,1.33144
q88,u219,1.3,1.27472
q74,u220,0.0,1.2033066666666667
q121,u221,1.0,1.2813333333333334
q81,u222,1.3,1.0166666666666666
q77,u223,1.0,1.1207733333333334
q44,u224,0.8,1.3219733333333334
q125,u225,1.0,1.3520000000000003
q126,u226,1.3,1.305413333333333
q39,u227,0.2,0.76568
q127,u228,0.5,1.3393333333333337
q26,u229,1.3,1.3653866666666667
q128,u230,1.3,1.34256
q129,u231,1.0,1.0465866666666666
q67,u232,1.3,1.3290933333333337
q50,u233,1.0,1.2216533333333337
q130,u234,1.3,1.2839200000000002
q131,u235,1.7,0.95728
q106,u236,0.2,0.1666666666666666
q57,u237,1.3,1.16752
q79,u238,1.7,1.8225066666666667
q120,u239,0.5,0.4166666666666667
q132,u240,1.3,0.8720266666666667
q127,u241,0.5,0.4166666666666667
q105,u242,1.3,1.2544800000000005
q114,u243,0.5,0.7657866666666667
q50,u244,0.2,0.5
q60,u245,1.7,0.9921066666666668
q82,u246,0.5,0.7759733333333334
q93,u247,0.5,1.20504
q7,u248,0.2,0.5902666666666667
q41,u249,1.3,1.145333333333333
q72,u250,0.2,1.3267733333333334
q133,u251,0.5,0.49528
q2,u252,1.0,1.2634933333333336
q78,u253,1.0,1.1509866666666666
q125,u254,1.0,1.2990933333333334
q109,u255,1.7,1.3999999999999997
q39,u256,0.0,1.2064800000000002
q134,u257,1.0,0.8151466666666667
q135,u258,0.8,1.0754666666666666
q113,u259,0.2,0.3333333333333333
q34,u260,0.5,0.1666666666666666
q124,u261,1.0,1.0256533333333333
q65,u262,1.7,1.3000533333333333
q102,u263,0.5,0.6349866666666667
q136,u264,0.5,1.2864000000000002
q110,u265,1.7,2.0
q137,u266,0.0,1.4772533333333335
q40,u267,0.5,0.5
q138,u268,1.3,0.4270133333333334
q41,u269,0.0,0.0
q139,u270,0.5,1.0455733333333337
q9,u271,0.2,0.5359200000000001
q140,u272,1.3,1.4206666666666667
q141,u273,0.5,0.6759733333333333
q142,u274,0.5,1.1186133333333332
q134,u275,1.0,0.7058133333333334
q136,u276,0.5,0.77128
q47,u166,1.0,1.3362133333333337
q39,u277,0.5,0.8002400000000001
q143,u278,0.5,1.0485066666666667
q2,u279,0.8,1.23296
q114,u280,0.5,0.60792
q2,u281,0.8,0.6101066666666667
q144,u282,0.0,0.0
q106,u283,0.5,0.5
q46,u284,1.0,0.99208
q10,u285,0.2,0.3653866666666667
q145,u286,0.5,1.23072
q98,u287,0.5,1.2228
q7,u288,0.8,1.2733866666666669
q142,u289,1.3,1.1794399999999998
q66,u290,1.7,1.39088
q132,u291,1.3,0.7609066666666667
q51,u292,1.3,1.3999999999999997
q21,u293,1.0,1.2566666666666666
q144,u294,0.8,1.0191733333333337
q78,u295,0.5,0.34352
q47,u296,1.3,1.2123733333333335
q146,u297,0.5,0.4760533333333334
q96,u298,1.7,1.76672
q7,u299,0.5,1.3095466666666666
q92,u300,0.5,0.3333333333333333
q59,u301,0.2,0.7023999999999999
q19,u302,1.3,1.2224533333333334
q22,u303,1.3,1.26928
q145,u304,1.7,1.114933333333333
q40,u305,0.2,1.225946666666667
q6,u306,0.5,1.2021866666666667
q105,u307,1.3,1.3982133333333333
q147,u308,0.8,0.97704
q92,u309,0.5,1.818906666666667
q94,u310,0.5,1.05984
q12,u311,0.8,1.2759466666666668
q47,u312,1.3,1.3974133333333334
q131,u313,1.3,1.20192
q114,u314,0.2,0.3333333333333333
q15,u315,1.7,1.5779466666666666
q148,u316,1.0,1.2914933333333334
q98,u317,0.0,1.3303733333333334
q41,u318,0.0,0.1666666666666666
q114,u319,0.5,0.5
q1,u320,0.5,0.8807466666666667
q2,u321,0.8,1.155333333333333
q91,u322,0.5,0.8106933333333334
q143,u323,0.5,0.77208
q121,u324,0.5,1.1573866666666668
q96,u325,0.5,0.7407466666666668
q86,u326,1.3,1.2199733333333336
q149,u327,0.5,1.1850666666666667
q5,u328,1.0,1.0918133333333335
q150,u329,0.2,0.70736
q137,u330,0.5,0.0833333333333333
q9,u331,0.5,0.9907733333333332
q47,u56,1.0,1.3513600000000003
q41,u48,1.0,1.2416800000000003
q82,u332,0.5,0.80416
q151,u333,0.5,0.6666666666666666
q131,u334,1.0,1.1828
q91,u335,1.0,1.00792
q86,u336,1.0,1.2198666666666669
q139,u337,1.3,1.41976
q69,u338,0.5,0.94592
q81,u339,0.2,1.13912
q17,u340,0.5,0.7740533333333334
q136,u341,1.0,1.3628533333333337
q132,u342,0.8,0.25
q75,u343,1.0,1.2613866666666669
q57,u344,1.0,1.198346666666667
q142,u345,0.2,1.2283733333333335
q138,u346,0.5,1.2662933333333333
q84,u347,0.5,0.4166666666666667
q29,u348,0.8,1.4651733333333332
q50,u349,0.5,0.8120533333333334
q22,u350,1.3,1.18408
q95,u351,0.8,1.26896
q92,u352,1.0,1.4361866666666667
q44,u353,1.0,1.1354933333333337
q149,u354,0.8,1.2919200000000002
q50,u205,0.2,1.1942400000000002
q98,u207,1.3,0.8653866666666667
q42,u355,0.5,0.5
q152,u356,1.3,1.2790933333333332
q23,u357,0.5,0.5
q38,u358,0.5,0.9568533333333334
q43,u359,1.3,1.39232
q58,u360,1.7,1.5
q110,u361,0.5,0.9603466666666668
q9,u362,0.2,0.6073866666666666
q4,u363,0.2,0.25
q4,u364,1.0,0.4518133333333334
q93,u365,0.2,0.7326133333333334
q5,u366,1.3,1.2612533333333336
q153,u367,1.3,1.3485600000000002
q102,u368,0.5,0.3333333333333333
q142,u369,1.0,0.1666666666666666
q23,u370,0.5,0.8368266666666667
q39,u371,1.0,0.6477066666666667
q150,u372,0.2,0.4166666666666667
q8,u373,1.3,1.4050933333333333
q148,u374,0.8,1.1335466666666667
q9,u375,1.0,1.3195733333333337
q87,u376,1.3,1.2666933333333334
q46,u377,1.0,1.2474133333333333
q105,u378,1.3,0.9536533333333334
q57,u379,1.0,1.2744266666666668
q113,u380,0.5,0.7301066666666666
q94,u381,0.8,1.1991466666666668
q75,u382,1.0,1.006746666666667
q12,u383,1.0,1.3009333333333333
q64,u384,0.2,0.8454933333333333
q9,u385,1.0,1.342666666666667
q91,u386,1.0,1.26176
q149,u387,1.3,0.8807466666666667
q123,u388,1.3,1.2508266666666668
q28,u389,0.5,0.8376
q43,u390,1.3,1.34232
q98,u391,1.7,1.24712
q109,u392,0.5,0.0
q48,u393,1.3,1.10856
q154,u394,1.0,1.2310666666666668
q129,u395,1.3,1.4196533333333334
q86,u396,0.8,1.16504
q65,u397,1.7,1.0242666666666669
q77,u398,1.3,0.7951200000000002
q155,u399,0.5,0.5601866666666667
q81,u400,0.2,0.0
q156,u401,1.0,1.2655466666666666
q53,u402,1.7,1.31448
q14,u403,1.0,1.34248
q157,u404,0.8,1.3470666666666666
q83,u405,0.8,1.3336266666666667
q133,u406,0.0,0.0
q36,u407,1.0,1.3314666666666666
q13,u408,1.7,1.1
q4,u409,0.0,0.0833333333333333
q90,u410,0.5,0.5648
q43,u411,0.0,0.0
q72,u412,0.2,0.7115733333333333
q72,u413,0.5,0.7619199999999999
q99,u414,0.5,0.7404800000000001
q158,u415,1.3,1.285386666666667
q137,u416,1.3,1.6309866666666668
q25,u417,1.3,1.2121333333333333
q41,u48,1.0,1.2416800000000003
q159,u418,1.0,1.32336
q83,u419,1.0,1.3414933333333334
q2,u281,0.5,0.6101066666666667
q84,u420,0.2,0.25
q99,u421,0.5,0.7198666666666668
q84,u422,0.0,0.25
q160,u423,1.0,0.8172
q43,u424,0.5,0.73568
q87,u425,1.3,1.3049066666666669
q161,u426,0.2,1.08384
q40,u47,1.3,1.29312
q121,u427,0.8,1.28288
q5,u428,1.3,1.2264000000000002
q90,u429,1.3,1.005626666666667
q63,u430,1.3,1.3722133333333335
q33,u431,1.0,1.1233333333333333
q68,u432,1.3,1.2671466666666664
q72,u433,0.5,0.96784
q148,u434,1.0,1.0650933333333334
q162,u435,0.8,0.1666666666666666
q152,u436,1.3,1.2637600000000002
q106,u437,0.2,0.0833333333333333
q163,u438,1.7,1.3290666666666666
q122,u439,0.5,1.26168
q103,u440,1.3,0.8083733333333334
q76,u441,0.5,0.7366133333333332
q113,u442,0.2,0.4166666666666667
q93,u443,1.3,1.22192
q23,u444,1.0,0.5
q27,u445,1.3,1.30424
q71,u446,0.8,0.9249866666666668
q46,u447,0.5,1.3239733333333337
q19,u448,0.5,0.5
q124,u449,1.3,1.15784
q74,u161,1.3,1.27456
q25,u450,1.0,1.3074666666666668
q74,u451,1.0,0.8446933333333334
q74,u452,1.3,1.2599466666666668
q164,u453,1.0,1.0782666666666667
q28,u454,0.5,1.10232
q158,u455,0.5,0.25
q162,u456,0.8,1.2779999999999998
q46,u457,1.3,1.2691466666666666
q105,u458,1.0,1.2754133333333335
q102,u459,0.5,0.3333333333333333
q165,u460,1.3,1.3747733333333334
q162,u461,1.3,0.9913066666666668
q53,u462,1.3,1.3863200000000002
q166,u463,1.0,1.2832266666666667
q54,u464,1.3,1.3042133333333334
q161,u465,1.0,1.3578400000000002
q61,u466,1.0,1.3273333333333337
q41,u467,0.0,0.0
q63,u468,1.3,1.0542933333333335
q133,u469,0.2,0.7618933333333334
q160,u470,0.5,0.5
q93,u471,0.5,0.6318666666666667
q60,u472,1.3,1.0786933333333335
q16,u473,1.3,1.31704
q49,u474,0.5,1.0816533333333334
q70,u475,1.3,1.2671733333333333
q167,u476,0.5,1.2115466666666668
q30,u477,0.2,0.0
q3,u478,1.3,1.2501066666666667
q84,u479,0.2,0.3333333333333333
q129,u480,0.8,1.3861866666666665
q168,u481,1.7,1.3514133333333334
q39,u482,0.5,0.7529066666666667
q163,u483,1.3,1.3459466666666666
q165,u484,1.3,1.3611733333333331
q98,u485,0.5,0.7822666666666667
q15,u486,1.3,1.324293333333333
q169,u487,0.5,0.9110133333333332
q170,u488,1.3,1.3535733333333333
q12,u489,0.0,0.0
